
이름: 김현수(Hyun-Soo Kim),복귀년도: 2018
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
15:00,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,10,0.76,-1.33,-0.075
17:00,93,93,87,9,32,3,0,1,38,14,0,0,2,3,0,10,5,0,1,0.368,0.398,0.437,0.835,320,0.95,0.50,0.346
18:00,73,72,63,10,20,3,0,5,38,12,0,0,5,5,1,8,1,0,0,0.317,0.411,0.603,1.014,264,1.31,3.10,0.786
18:30,373,368,327,43,95,5,0,21,163,66,1,0,38,6,7,55,15,0,2,0.291,0.373,0.498,0.871,1408,1.08,13.34,2.039
19:00,4,4,4,1,3,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0.750,0.750,1.500,2.250,16,1.20,1.88,0.223
이름: 최희섭(Hee-Seop Choi),복귀년도: 2007
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,31,28,27,2,7,3,0,0,10,5,0,0,3,0,0,6,1,0,1,0.259,0.323,0.370,0.693,0,,,
후반기,189,174,172,18,60,14,0,7,95,41,3,1,15,0,0,31,8,0,2,0.349,0.397,0.552,0.949,0,,,
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
5월,14,14,14,1,2,1,0,0,3,0,0,0,0,0,0,5,1,0,0,0.143,0.143,0.214,0.357,0,,,
7월,62,57,55,8,20,6,0,2,32,16,1,0,5,0,0,7,4,0,2,0.364,0.403,0.582,0.985,0,,,
8월,78,73,73,4,20,5,0,2,31,16,2,0,5,0,0,16,3,0,0,0.274,0.321,0.425,0.746,0,,,
9월,50,45,44,7,19,5,0,3,33,13,0,1,5,0,0,7,1,0,1,0.432,0.480,0.750,1.230,0,,,
10월,16,13,13,0,6,0,0,0,6,1,0,0,3,0,0,2,0,0,0,0.462,0.563,0.462,1.025,0,,,
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
월,4,2,2,0,1,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0.500,0.750,0.500,1.250,0,,,
화,38,37,36,3,9,3,0,1,15,9,0,0,1,0,0,8,1,0,1,0.250,0.263,0.417,0.680,0,,,
수,20,16,16,2,8,4,0,0,12,5,1,0,4,0,0,1,1,0,0,0.500,0.600,0.750,1.350,0,,,
목,36,30,30,3,8,1,0,0,9,0,2,0,6,0,0,7,3,0,0,0.267,0.389,0.300,0.689,0,,,
금,45,44,44,3,12,3,0,2,21,10,0,1,1,0,0,7,1,0,0,0.273,0.289,0.477,0.766,0,,,
토,44,42,40,5,16,3,0,2,25,13,0,0,2,0,0,6,1,0,2,0.400,0.409,0.625,1.034,0,,,
일,33,31,31,4,13,3,0,2,22,9,0,0,2,0,0,7,2,0,0,0.419,0.455,0.710,1.165,0,,,
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,26,25,25,3,12,4,0,1,19,3,0,0,1,0,0,3,2,0,0,0.480,0.500,0.760,1.260,0,,,
17:00,71,67,65,7,26,5,0,3,40,21,0,0,4,0,0,11,2,0,2,0.400,0.423,0.615,1.038,0,,,
18:00,8,6,6,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0.167,0.375,0.167,0.542,0,,,
18:30,115,104,103,10,28,8,0,3,45,22,3,1,11,0,0,21,5,0,1,0.272,0.339,0.437,0.776,0,,,
이름: 김태균(Tae-Gyun Kim),복귀년도: 2012
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,293,249,241,41,96,16,0,12,148,52,3,1,44,4,3,33,7,0,4,0.398,0.491,0.614,1.105,0,,,
후반기,220,183,175,20,55,8,0,4,75,28,0,0,37,7,5,36,4,0,1,0.314,0.450,0.429,0.879,0,,,
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
4월,72,64,63,8,29,3,0,2,38,10,1,1,8,0,0,9,0,0,1,0.460,0.514,0.603,1.117,0,,,
5월,108,87,83,14,34,8,0,3,51,20,1,0,21,2,2,10,3,0,2,0.410,0.528,0.614,1.142,0,,,
6월,70,62,60,9,17,4,0,3,30,14,0,0,8,1,1,10,3,0,1,0.283,0.371,0.500,0.871,0,,,
7월,72,62,61,12,24,2,0,4,38,14,1,0,10,1,0,10,3,0,0,0.393,0.486,0.623,1.109,0,,,
8월,87,69,67,12,27,3,0,3,39,12,0,0,18,2,2,10,0,0,0,0.403,0.540,0.582,1.122,0,,,
9월,85,75,70,6,16,2,0,1,21,7,0,0,10,4,2,18,2,0,1,0.229,0.353,0.300,0.653,0,,,
10월,19,13,12,0,4,2,0,0,6,3,0,0,6,1,1,2,0,0,0,0.333,0.579,0.500,1.079,0,,,
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
월,11,10,9,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0.111,0.273,0.111,0.384,0,,,
화,79,70,69,11,26,8,0,2,40,18,1,0,9,1,1,17,1,0,0,0.377,0.456,0.580,1.036,0,,,
수,93,76,73,12,34,5,0,3,48,15,0,0,17,3,2,9,1,0,0,0.466,0.581,0.658,1.239,0,,,
목,84,67,64,10,24,2,0,2,32,9,0,1,17,2,2,10,4,0,1,0.375,0.512,0.500,1.012,0,,,
금,84,69,65,9,18,2,0,1,23,8,1,0,15,3,1,13,2,0,1,0.277,0.429,0.354,0.783,0,,,
토,86,80,78,4,20,4,0,1,27,10,0,0,6,1,0,14,1,0,1,0.256,0.314,0.346,0.660,0,,,
일,76,60,58,15,28,3,0,7,52,20,1,0,16,0,2,5,2,0,2,0.483,0.579,0.897,1.476,0,,,
시간,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
14:00,34,28,26,4,13,2,0,2,21,8,1,0,6,1,0,2,0,0,1,0.500,0.588,0.808,1.396,0,,,
17:00,146,124,120,15,38,6,0,6,62,22,0,0,22,2,3,17,3,0,2,0.317,0.425,0.517,0.942,0,,,
18:30,333,280,270,42,100,16,0,8,140,50,2,1,53,8,5,50,8,0,2,0.370,0.483,0.519,1.002,0,,,
이름: 이범호(Beom-Ho Lee),복귀년도: 2011
전/후반기,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
전반기,362,297,287,60,90,19,0,17,160,73,2,0,65,5,2,49,7,0,5,0.314,0.442,0.557,0.999,0,,,
후반기,43,33,31,3,6,2,0,0,8,4,0,0,10,2,1,7,1,0,0,0.194,0.419,0.258,0.677,0,,,
월,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
4월,102,87,82,15,28,4,0,4,44,27,0,0,15,1,0,15,1,0,4,0.341,0.431,0.537,0.968,0,,,
5월,101,80,77,16,22,4,0,6,44,17,1,0,21,2,0,17,3,0,1,0.286,0.446,0.571,1.017,0,,,
6월,94,77,75,20,25,7,0,3,41,13,1,0,17,2,0,12,2,0,0,0.333,0.468,0.547,1.015,0,,,
7월,77,64,62,9,18,4,0,4,34,18,0,0,13,2,2,8,1,0,0,0.290,0.429,0.548,0.977,0,,,
8월,24,18,18,3,3,2,0,0,5,2,0,0,6,0,0,2,1,0,0,0.167,0.375,0.278,0.653,0,,,
9월,4,2,2,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0.000,0.500,0.000,0.500,0,,,
10월,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.333,0.000,0.333,0,,,
요일,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,NP,avLI,RE24,WPA
화,67,51,49,12,12,4,0,2,22,9,1,0,16,2,2,12,0,0,0,0.245,0.448,0.449,0.897,0,,,
수,65,54,51,6,15,6,0,0,21,11,0,0,11,3,0,11,1,0,0,0.294,0.446,0.412,0.858,0,,,
목,76,61,56,10,15,1,0,3,25,13,0,0,15,2,0,8,2,0,3,0.268,0.421,0.446,0.867,0,,,
금,66,52,52,14,19,3,0,5,37,15,0,0,14,0,0,7,2,0,0,0.365,0.500,0.712,1.212,0,,,
