날짜,요일,홈,방문,구장_x,관중수,지역,구장_y,수용인원(KBO),좌석수,점유율
2023/04/11,화,KIA,한화,광주,3623,광주,광주-KIA 챔피언스 필드,"20,500",20500,17.673170731707316
2023/04/11,화,NC,KT,창원,2069,창원,창원NC파크,"22,112",17891,11.564473757755296
2023/04/11,화,롯데,LG,사직,5286,사직,사직야구장,"22,990",22758,23.226997099920908
2023/04/11,화,삼성,SSG,대구,3907,대구,대구 삼성 라이온즈파크,"24,000",24000,16.27916666666667
2023/04/11,화,두산,키움,잠실,4372,잠실,서울종합운동장 야구장,"25,553",23750,18.408421052631578
2023/04/12,수,KIA,한화,광주,5252,광주,광주-KIA 챔피언스 필드,"20,500",20500,25.619512195121953
2023/04/12,수,NC,KT,창원,2448,창원,창원NC파크,"22,112",17891,13.682857302554357
2023/04/12,수,롯데,LG,사직,6519,사직,사직야구장,"22,990",22758,28.644872132876355
2023/04/12,수,삼성,SSG,대구,5405,대구,대구 삼성 라이온즈파크,"24,000",24000,22.520833333333336
2023/04/13,목,KIA,한화,광주,5457,광주,광주-KIA 챔피언스 필드,"20,500",20500,26.619512195121953
2023/04/13,목,NC,KT,창원,3174,창원,창원NC파크,"22,112",17891,17.740763512380525
2023/04/13,목,롯데,LG,사직,6505,사직,사직야구장,"22,990",22758,28.583355303629492
2023/04/13,목,삼성,SSG,대구,4648,대구,대구 삼성 라이온즈파크,"24,000",24000,19.366666666666667
2023/04/13,목,두산,키움,잠실,6917,잠실,서울종합운동장 야구장,"25,553",23750,29.124210526315792
2023/04/14,금,KT,한화,수원,7145,수원,케이티위즈파크,"20,000",18700,38.20855614973262
2023/04/14,금,키움,KIA,고척,8043,고척,고척스카이돔,"17,000",16000,50.26875
2023/04/14,금,삼성,롯데,대구,9124,대구,대구 삼성 라이온즈파크,"24,000",24000,38.016666666666666
2023/04/14,금,SSG,NC,문학,8218,문학,인천 SSG 랜더스필드,"23,000",23000,35.7304347826087
2023/04/14,금,LG,두산,잠실,16528,잠실,서울종합운동장 야구장,"25,553",23750,69.59157894736843
2023/04/15,토,KT,한화,수원,13212,수원,케이티위즈파크,"20,000",18700,70.6524064171123
2023/04/15,토,키움,KIA,고척,13752,고척,고척스카이돔,"17,000",16000,85.95
2023/04/15,토,삼성,롯데,대구,18231,대구,대구 삼성 라이온즈파크,"24,000",24000,75.9625
2023/04/15,토,SSG,NC,문학,13956,문학,인천 SSG 랜더스필드,"23,000",23000,60.678260869565214
2023/04/15,토,LG,두산,잠실,21243,잠실,서울종합운동장 야구장,"25,553",23750,89.4442105263158
2023/04/16,일,KT,한화,수원,13010,수원,케이티위즈파크,"20,000",18700,69.57219251336898
2023/04/16,일,키움,KIA,고척,11265,고척,고척스카이돔,"17,000",16000,70.40625
2023/04/16,일,삼성,롯데,대구,16076,대구,대구 삼성 라이온즈파크,"24,000",24000,66.98333333333333
2023/04/16,일,SSG,NC,문학,13460,문학,인천 SSG 랜더스필드,"23,000",23000,58.52173913043478
2023/04/16,일,LG,두산,잠실,20090,잠실,서울종합운동장 야구장,"25,553",23750,84.58947368421053
