
이름: 김광현(Kwang-Hyun Kim),복귀년도: 2022
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
금,9,0,0,0,1,0,0,5,8.1,2,2,3.05,33,32,7,2,0,1,1,0,0,9,131,0.96,0.219,0.242,0.617,2.16,1.83,2.50,0.470
토,11,0,0,0,0,0,1,4,11.0,4,4,4.00,48,42,11,2,0,0,4,0,1,8,182,1.36,0.262,0.340,0.650,3.27,1.92,2.42,0.432
일,4,0,0,0,0,1,0,2,4.2,2,2,2.00,17,16,2,1,0,0,1,0,0,6,70,0.64,0.125,0.176,0.364,3.86,1.64,0.63,-0.022
시간,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
14:00,8,0,0,0,0,0,1,2,8.0,2,2,2.00,32,29,7,0,0,0,2,0,0,9,131,1.13,0.241,0.290,0.531,2.25,2.47,2.50,0.490
17:00,6,0,0,0,1,1,0,2,7.0,2,2,2.00,27,24,4,2,0,0,2,0,0,6,107,0.86,0.167,0.231,0.481,2.57,1.47,2.09,0.103
18:00,4,0,0,0,0,0,0,2,4.0,3,3,3.00,19,17,5,1,0,0,1,0,1,2,73,1.50,0.294,0.368,0.721,6.75,2.17,-0.66,-0.083
18:30,27,0,0,0,2,1,1,12,28.2,7,7,10.45,123,110,28,7,1,2,10,0,1,22,479,1.33,0.255,0.322,0.713,2.20,2.16,8.41,1.095
이름: 김선우(Sun-Woo Kim),복귀년도: 2008
전/후반기,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
전반기,13,11,0,0,3,5,0,0,58.1,38,36,0.00,263,235,77,12,3,3,17,0,1,23,898,1.61,0.328,0.370,0.813,5.55,,,
후반기,8,7,0,0,3,2,0,0,43.1,24,12,0.00,185,177,49,7,4,0,6,0,0,23,658,1.27,0.277,0.301,0.663,2.49,,,
월,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
4월,3,3,0,0,0,3,0,0,12.1,11,10,0.00,61,52,18,2,1,0,5,0,1,4,219,1.86,0.346,0.407,0.830,7.30,,,
5월,1,0,0,0,0,0,0,0,2.0,0,0,0.00,6,6,0,0,0,0,0,0,0,2,26,0.00,0.000,0.000,0.000,0.00,,,
6월,4,4,0,0,2,0,0,0,19.1,10,10,0.00,89,81,27,4,0,1,7,0,0,10,307,1.76,0.333,0.386,0.806,4.66,,,
7월,5,4,0,0,1,2,0,0,24.2,17,16,0.00,107,96,32,6,2,2,5,0,0,7,346,1.50,0.333,0.356,0.856,5.84,,,
8월,1,1,0,0,1,0,0,0,6.2,2,1,0.00,28,28,7,1,1,0,0,0,0,4,96,1.05,0.250,0.250,0.607,1.35,,,
9월,6,5,0,0,2,1,0,0,31.2,14,7,0.00,128,120,29,3,2,0,6,0,0,15,464,1.11,0.242,0.278,0.578,1.99,,,
10월,1,1,0,0,0,1,0,0,5.0,8,4,0.00,29,29,13,3,1,0,0,0,0,4,98,2.60,0.448,0.448,1.069,7.20,,,
요일,G,GS,CG,SHO,W,L,HD,S,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA
화,3,3,0,0,1,1,0,0,19.2,8,6,0.00,77,72,17,1,3,0,3,0,0,7,275,1.02,0.236,0.260,0.593,2.75,,,
수,5,5,0,0,2,3,0,0,23.1,16,11,0.00,108,99,33,4,1,0,4,0,1,11,357,1.59,0.333,0.362,0.756,4.24,,,
목,1,1,0,0,0,0,0,0,6.0,5,5,0.00,27,24,8,2,1,2,1,0,0,2,91,1.50,0.333,0.346,1.096,7.50,,,
금,3,3,0,0,1,1,0,0,18.1,10,6,0.00,79,75,22,5,1,0,3,0,0,12,272,1.36,0.293,0.321,0.708,2.95,,,
